place_geoid,place_name,state_code,lsad_code,functional_status,land_area_sqm,water_area_sqm,latitude,longitude,source_vintage,source_url,active_listing_count,latest_listing_date
2582000,Worcester city,MA,25,A,96762675,2808413,42.269478,-71.807783,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-02
2400125,Aberdeen city,MD,25,A,18030709,24405,39.516403,-76.174518,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-02
2441250,Hyattsville city,MD,25,A,7006792,64952,38.961205,-76.954935,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-14
2674900,Southfield city,MI,25,A,68025633,14814,42.47464,-83.259509,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-09
2917272,Creve Coeur city,MO,25,A,26613293,0,38.662023,-90.443048,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-03
2931276,Hazelwood city,MO,25,A,41538987,1531486,38.794706,-90.396002,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-02
2938000,Kansas City city,MO,25,A,814591280,10547075,39.125155,-94.550313,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-19
3314200,Concord city,NH,25,A,165602774,8420311,43.232493,-71.561252,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-11
3986660,Wright-Patterson AFB CDP,OH,57,S,25571981,338568,39.822834,-84.048504,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-05-21
4550875,North Charleston city,SC,25,A,201990596,9252718,32.917881,-80.065,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-17
4748000,Memphis city,TN,25,A,750470803,23162572,35.109164,-89.968511,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-07-01
4801924,Allen city,TX,25,A,68335676,210112,33.107224,-96.674676,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,3,2026-06-17
